"","Flavor"
"58","The shield took a year to craft, a month to enchant, and a decade to master—all for one glorious moment."
"59","""Beware Adamaro! In him all pain and anger is perfected."" —Isao, Enlightened Bushi"
"60","Such loyalty can only be made."
"61","""Eh, needs more toad."" —Gulistan, Simic biomancer"
"62","""We encountered the sentinels in the wastes, near no living thing. Their purpose was inscrutable."" —Disa the Restless, journal entry"
"63","""There is no nobler creature in all of Terisiare."" —General Jarkeld, the Arctic Fox"
"64","She doesn't escort the dead to the afterlife, but instead raises them to fight and die again."
"65","Terisiare has only two kinds of weather: cold and weird."
"66","""I'll wring out your tiny mind like a sponge."" —Urborg witch"
"67","The passionate intensity of the Ghitu tempered by the cool insight of Tolarian training."
"68","""You and your ship will make a fine addition to my fleet."""
"69","""Damn the cannons, mates. Charge!"""
"70","When the task spilled over into undeath, he stopped calling it his life's work."
"71","""My sword is pledged to the defense of this city, not to the throne or this usurper."""
"72",""". . . And at his passing, the bodies of the world's great warriors shall rise from their graves and follow him to battle."" —The Anvilonian Grimoire"
"73","""They are like their vedalken masters: untouchable, aloof, and omnipresent."" —Bruenna, Neurok leader"
"74","""Improvement is a consequence of practice."" —Stitcher Geralf"
"75","""The soldier's path is worn smooth by the tread of many feet—all in one direction, none returning."" —Oracle en-Vec"
"76","""The beneficent council deems you worthy of favor. They hope this doesn't provoke envy from your peers."""
"77","The consciousness of Mat'Selesnya does not always spread in peaceful ways."
"78","An explorer's essentials in a wild world."
"79","Every odyssey begins with a single step."
"80","""I am neither their drover nor their leader. To these majestic beasts, I am simply their herdmate and nothing more."""
"81","The streets of Ghirapur have become dangerous. It's good to have a dependable companion."
"82","Athreos cares little for the other gods' conflict with mortals. He is concerned only with safe passage for the dead."
"83","""With this marvel, even the weak have a fighting chance!"" —Arcum Dagsson, Soldevi Machinist"
"84","""Although fragile, the aeolipile could be quite destructive."" —Sarpadian Empires, vol. I"
"85","Aerathi children who show promise are left to survive for a year in the wilderness. Those who return are shown the way of the Berserker."
"86","Successful delivery is not guaranteed."
"87","""Kefnet taught us to turn obstacles into advantages."" —Neponem, vizier of Kefnet"
"88","""When you put all of yourself into an attack, without fear or hesitation, in that instant you may attain greatness."" —Predak, Gateless freemage"
"89","In the towering trees of the Samok Stand and the predators that guard them, the might of the Ravnican wild has returned."
"90","Dwarves have an instinct for repair, an inherent understanding of how systems work, and a reputation for fearlessness. They're perfect candidates for the Fair's emergency response team."
"91","Drakes can swerve to avoid a single arrow, but they can't dodge the whole sky."
"92","They are cautious with their body language and facial expressions. Any stray movement could betray the positions of the troops they protect and cost many lives."
"93","They can conjure stars from a clear sky."
"94","The Consulate recruits its best pilots from the League of Aeronauts. Many go on to command entire fleets."
"95","""All tinkerers have their heads in the clouds. I don't intend to stop there."""
"96","An ancient device recovered from a thawing glacier high in the Karplusan mountains."
"97","""The universe is my instrument, and the song I play upon it is one you are forbidden to hear."""
"98","""Creatures fade in and out of existence. It's an unfortunate side effect. The losses are tolerable."" —Belbe"
"99","""I don't know what that is or who it belongs to, but it's shiny and I want it."""
"100","As fleeting as a cephalid's promise."
"101","""Is it just me, or does that meteor have teeth?"""
"102","As the foul beast appeared, arcane lightning crackled around it."
"103","While most power is used for ordinary, everyday tasks, one shouldn't underestimate its potential for the extraordinary."
"104","The militia formed up in the central plaza awaiting the onslaught, but the giants never quite made it."
"105","Gremlins in the wild feed on nodules of pure aether, which are also prized by miners."
"106","It powers the dreams of Ghirapur."
"107","""You can come back once you've learned some manners—and figured out how to reconstitute your physical forms."""
"108","Its fickle form holds hints of a thousand former identities."
"109","""The strain upon the veil between worlds began to show near the end of the Kami War. Strange happenings that neither side could control lashed out across Kamigawa."" —Observations of the Kami War"
"110","""May you wake to find you were only ever a dream."" —Mephidross curse"
"111","""You were saying?"""
"112","""Release that which was never caged."" —Spellbomb inscription"
"113","""Don't worry, there's plenty for everyone."" —Vickon, Eleventh Company battlemage"
"114","When Gatha fell, he was called to account for each abomination he created."
"115","""I do love the rain . . . but this storm feels somehow wrong, Taysir."" —Daria"
"116","The tide of magic brought them here. Now it would take them home."
"117","""To survive up here, I've learned when to use my harpoon and when to just enjoy the view."" —Kadhu, skywhaler"
"118","Consulate engineers have developed safe methods of harvesting aether, but renegades aren't always so careful."
"119","Its frill inspired the design of efficient aether collectors."
"120","Once a welcoming hub for explorers, Affa became a place of guarded tongues and quick defenses."
"121","""Through all the terrors we face, I hold on to the memory of the world before the Eldrazi came. I'd like to see that world again."""
"122","One rarely notices a heartbeat, save when it is stolen."
"123","The rising of the first full moon eliminated any doubt as to the horrible truth lurking within."
"124","Facets of life, reflections of the soul."
"125","""Every act of destruction has a repercussion."" —Karn, silver golem"
"126","Tel-Jilad's sworn protectors are the trolls, yet more fearsome protectors were created by the Tangle itself."
"127","Erebos's minions hunt the Returned and warn those who consider the same folly."
"128","The light in the woods just before dawn reveals a glimmering network of branches, roots, and spiderwebs. The acolytes of Kruphix walk this lattice unseen."
"129","""Two-faced"" is an understatement."
"130","""Go ahead. Take it. You'll be so very powerful . . . and what harm can it do?"""
"131","""The Order of Stromgald spreads its poisonous lies from within Varchild's troops, and still she sees only visions of conquest."" —Lovisa Coldeyes, Balduvian Chieftain"
"132","""You are breathing borrowed air."""
"133","""Barbarians! They burned my favorite chair! We'll kill them all!"" —Anje Falkenrath"
"134","The star that burns twice as bright burns half as long."
"135","Designed by Markus Persson"
"136","""Our lives, our homes, and all our history are at risk. Do not speak to me of peace."""
"137","In the aftermath of war, when the slaying is long done, the greatest miseries come home to roost."
"138","Life's circle has become inverted in Grixis. The same energy is endlessly recycled and becomes more stagnant with each pass."
"139","""Everyone in this city is choosing sides. I choose inside."""
"140","Lieutenant Kos has never met a group of recruits he could not inspire or a mob he could not quell."
"141","""The Second Sun nears its destination! Let it light the way to ours!"""
"142","""Hesitation breeds dissension. To be worthy of the next life, you must never look back."" —Anep, vizier of Hazoret"
"143","""A slayer gets by on wits and reflexes."" —Higa, slayer-captain of Gatstaf"
"144","""In the Tarkir I once knew, the Abzan revered their ancestor trees. Now, as Dromoka, they cut their finest groves to make weapons."" —Sarkhan Vol"
"145","""Hold the line, for family and the fallen!"""
"146","Some ainok of the mountains are accepted among the Temur as trusted hunt-mates."
"147","Random mutations among Rootwater merfolk were common—and disturbing."
"148","""We help our Southern Order comrades as much as we can. But the Cabal's insidious influence spreads, dividing our forces and leaving new arrivals to fend for themselves."" —Commander Eesha"
"149","""Supplies inbound. Keep that pressure on."""
"150","It has two kinds of droppings, neither of which is particularly pleasant."
"151","As the ship approached, the jade totem rose high overhead. Power rippled. Eyes of stone glowed and crackled. Out hissed a breath of the world, and a windstorm came alive."
"152","Wind is forceful, yet ephemeral. It can knock a dragon out of the sky, yet pass through the smallest crack unhindered."
"153","""United, our roar will level mountains."""
"154","""I will go where the lion-man leads."""
"155","""He hasn't returned to the Cloud Forest. But I can still sense his calming presence."" —Zaliki of Naya"
"156","""When one of us prospers, the pride prospers."" —Jazal Goldmane"
"157","""Ajani goes where he is needed most and in his name we keep his lands safe."""
"158","Her bold movements are anchored in the careful precision of each rope."
"159","Among Godo's hordes, ""beware of falling rocks"" came to mean ""akki live nearby."""
"160","""It remains unclear whether the akki shamans could in fact create storms or simply predicted them."" —The History of Kamigawa"
"161","No matter where you find them, goblins love rocks."
"162","""What part of 'hayaku ikee!' did you not understand?"""
"163","Akki were very territorial, attacking and destroying any settlements that came too close to their mountain homes. The more successful their raids, the bolder they became."
"164","The lava-proof shells of akki evolved over centuries, as akki pranks almost always got seriously out of hand."
"165","""I lost my hounds in the war and thus found myself employing akki as servants. I found their training to be remarkably similar."" —Kensuke, houndmaster"
"166","""Deep inside the Sokenzan Mountains, a band of akki discovered a cache of ancient items of power. Their ensuing spree of destruction became known as 'The Three Days of Fun.'"" —Observations of the Kami War"
"167","""If you're in Akoum and you glimpse a shadow overhead, the worst thing you can do is duck."" —Chadir the Navigator"
"168","In the face of extinction, the most perilous endeavors can be cause for hope."
"169","Bant's armies are primarily composed of members of the Mortar caste, loyal commoners who haven't yet earned a sigil."
"170","""The time to serve is now."""
"171","An Akroan soldier's worth is measured by the number of swords raised by his battle cry."
"172","""Fair fight? How could it be a fair fight? We're Akroans. They're not."""
"173","He ensures escape attempts are just that—attempts."
"174","The enemies' shields are the first to shatter, and their battle line is never far behind."
"175","Even when many of the soldiers who guarded Akros were called away, its safety was never in doubt."
"176","Shields up, spears out, heels set, hearts firm."
"177","""Trust me. When you have earned a god's favor, you'll know."""
"178","""Wrath is no vice when inflicted upon the deserving."""
"179","The clerics saw her as a divine gift. She saw them only as allies in her war against Phage."
"180","Akroma asked for only one thing from her troops: unwavering, unconditional loyalty."
"181","""No rest. No mercy. No matter what."" —Memorial inscription"
"182","""Many must die for the one who should not have perished."""
"183","""Your arrogance amazes me, Kaervek. Did you not know the price you would pay?"" —Mangara"
"184","Al-abara simply laughed and lifted one finger, and the carpet carried her high out of our reach."
"185","The appearance of a kirin signifies the passing or arrival of an important figure. As word of sightings spread, all the khans took it to mean themselves. Only the shaman Chianul thought of Sarkhan Vol."
"186","""Its stones seem to serve a healing function, but removing them intact is an exhausting process."" —Tolarian research notes"
"187","""We hold sacred the powers of light and life. Truth and honor are our greatest weapons."" —Alabaster creed"
"188","""Healing is a matter of time, but it is sometimes also a matter of opportunity."" —D'Avenant proverb"
"189","Its mortar is mixed with waters straight from the Fountain of Cho."
"190","""Course he ran! I wouldn't want to stare down that barrel, either!"" —Alaborn soldier"
"191","""Ever proud, ever vigilant."" —Grenadier motto"
"192","Muskets gave the Alaborn army an advantage it had long lacked—air defense."
"193","""I dedicate my body to my country And my life to my King."" —Alaborn Soldier's Oath"
"194","""A good lamp will light your way. A good ring will clear it."" —Nervan, royal jeweler"
"195","""One timely cry of warning can save nine of surprise."" —Sidar Jabari"
"196","Side effects may include foul odors, scalding steam, and spontaneous nonexistence."
"197","""Impressive."" —Chandra Nalaar"
"198","Persecuted alchemists fled deep into Kessig's wilds, seeking solitude to continue their ghoulish craft."
"199","A weapon best suited for those with good aim and steady hands."
"200","Kongming's predecessor helped Liu Bei win the battle of Fancheng by recognizing and defeating Cao Ren's use of the dreaded ""Eight Gold Locks"" formation."
"201","Boundaries drawn on maps or marked with stone have no meaning for the Mardu."
"202","""Greet death with sword in hand."""
"203","""Doesn't look like much, does it?"" —Alexi, zephyr mage"
"204","The Keldons didn't know her name, but they still cursed her in battle."
"205","It lurks just under the surface, using the algae-choked tar pits of Jund as both home and hunting blind."
"206","It contains the totality of Alhammarret's notes, theories, and ponderings."
"207","""When he reached the entrance of the cavern, he pronounced the words, 'Open, Sesame!'"" —The Arabian Nights, Junior Classics trans."
"208","""Those who hide in hollow towers would do well to remember the rain."" —Reyhan, Samite Alchemist"
"209","The last hedron slotted into place, locking Ulamog in an infinite loop of binding energy."
"210","""Sure, you know the law. But I know the streets."""
"211","One distracts the victim, the other extracts the valuables."
"212","""You never know what day might be your last."""
"213","""Our formation was scattered after Sea Gate fell. If you're fighting the Eldrazi, consider us your newest recruits."""
"214","Each commander looked at the others and wondered who would be first to break the alliance."
"215","""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets."" —Javad Nasrin, Ondu relic hunter"
"216","""We turned old weapons into new warriors."" —Jhoira, master artificer"
"217","With or without witnesses, the suns continued their prismatic dance."
"218","""When the fifth sun rose, Mirrodin saw its first true dawn."" —Inscribed on the skin of Thrun, the last troll"
"219","No earthly armor is protection against this sweetness."
"220","She lures victims with promises of flesh, captures them in a net of deceit, and destroys them in the embrace of the sea."
"221","""Helping people is mostly a matter of teaching them to help themselves."" —Sisay, journal"
"222","Alms-coins are only redeemable at Orzhov businesses."
"223","""There is no justice when some profit and others go without."""
"224","Even the bitterest enemies of the Burning-Tree Clan respect the strength of Borborygmos's rule."
"225","Being an alpha means proving it every full moon."
"226","Kavu leaders instinctively protect their herds from harm."
"227","First to charge, first to fight."
"228","The best leaders are made by their followers."
"229","Hunger seized the tyrranax, and the Sylvok's vision quest ended in disaster."
"230","The Temur welcome bears into the clan, fighting alongside them in battle. The relationship dates back to when they labored side by side under Sultai rule."
"231","""It is not that you will go mad. It is that you will beg for madness."" —Volrath"
"232","Supplicants offer flesh and silver, flowers and blood. The altar takes what it will, eyes gleaming with unspoken promises."
"233","""The altar does nothing; the device is crushed under the weight of its own impurity."" —Ushanti, leonin seer"
"234","""Don't worry, your death will be as informative as possible."" —Gorghul, augur of skulls"
"235","Squee bounced up and down. ""I sees a horsey, an' a piggy, an' a—"" ""If you don't shut up,"" hissed Mirri, ""you'll see a kidney and a spleeny."""
"236","""We pray to Avacyn on high. On snow-white wings fearless you fly. Keep safe our souls. Keep safe our lives. May angels watch us from the skies."" —Children's prayer"
"237","Neither its appearance nor its temperature varies as the years pass, an eternal testament to the forces that shaped Dominaria."
"238","""I knew I'd find a use for all that newt spittle!"""
"239","And thus at Maze's End the runners end their strife. Our saving grace, that hooded kid, is now Guildpact for life. —RAVNICA! The Musical"
"240","""Life is a game. The only thing that matters is whether you're a pawn or a player."""
"241","Treefolk and elves share a common interest in the forests, but really the elves just feel at home with the view from above."
"242","""Conquering your first world is the hardest, after all. My power grew as I moved from world to world, taking anything that would make the next taking easier."" —Ob Nixilis"
"243","Aetherborn who are unwilling to accept the decomposition of their bodies invent ways to preserve and augment themselves."
"244","""Spent a lifetime learning from predators. Picked up a few tricks."""
"245","""Don't these goons have anything better to do?"" —Joskun, An-Havva Constable"
"246","The Abzan merchants soon discovered why this route was clear of dragons."
"247","""Fair fight? I'll take survival over chivalry any day!"" —Tor Wauki, Bandit King"
"248","""Living creatures seldom impress me. But I like this one."" —Uta Falkenrath"
"249","""When one has witnessed the unspeakable, 'tis sometimes better to forget."" —Vervamon the Elder"
"250","Crovax's rage was horrifying. Within moments only blood and shreds of flesh remained of the shapeshifter."
"251","Merfolk raided the shores untroubled for years . . . until the shores started fighting back."
"252","""The amphin have long built their society in secret. While surface dwellers squabbled over trivial borders, they patiently expanded, building their ammonite temple-caves. Now amphin priests eye the shore, and amphin hunters gird for war."" —Gor Muldrak, Cryptohistories"
"253","""There are those who do not believe in the existence of the amphin. This seems somehow to be of their own design."" —Gor Muldrak, Cryptohistories"
"254","""It's all a game. You shouldn't get too attached to the pieces."""
"255","Quick and agile, Amrou Kithkin can usually escape from even the most fearsome opponents."
"256","The people of Amrou were scattered by war and driven into hiding. Scouts maintain the beacon fires that signal ""return"" and ""home."""
"257","The paradise of Amrou Haven had become a field of cinders. Its people struggled to survive, hoping to see visions of its past in the strange storms that quickly passed."
"258","The aven claim it feeds on thunder and rainbows."
"259","Among the first allies Urza gained were the people of Kroog. As a sign of friendship, Urza gave the healers of the city potent amulets; afterwards, thousands journeyed to Kroog in hope of healing, greatly adding to the city's glory."
"260","Trade to trade, not to keep. —Suq'Ata motto"
"261","""After years of study, I've learned an important lesson: the relics we watch may be watching us back."" —Anowon, the Ruin Sage"
"262","""The Ancestors are the wisdom of the tribe and the soul of the Homelands. I am eternally in their debt."" —Taysir"
"263","""They who challenge a minotaur enjoy the taste of their own blood."" —Mirri of the Weatherlight"
"264","Just try taking this bull by the horns."
"265","""The Spirit Crafters sing of all our people. They sing of those lost, of those found, and of those who are yet to be."" —Onatah, Anaba Shaman"
"266","If you're smaller than the anaconda, it considers you food. If you're larger than the anaconda, it considers you a lot of food."
"267","""The blessings of Gaea alone are no longer enough."""
"268","Martyred for worshipping her ancestors, she now walks among them."
"269","Rarely at rest on the Amber Throne, Anafenza always leads the Abzan Houses to battle."
"270","""I'll take that. You won't need it when the revolution comes."""
"271","""The shaman waved the staff, and the land itself went mad."" —Disa the Restless, journal entry"
"272","Akros's greatest heroes are also its royalty."
"273","""The will of all, by my hand done."""
"274","""We have faced horrors of war and terrors beyond imagining. We will overcome the uncertainties of this new life."""
"275","""I pass to you all we have ever been. Go forth and become all we never could."""
"276","""It's a poor sort of memory that only works backwards."" —Lewis Carroll, Through the Looking Glass"
"277","The mage awakened the statue in hopes of learning the lost lore of her clan, but the statue was interested only in war."
"278","The defenses of the Abzan extend well beyond the walls of their fortresses."
"279","The arbiter Galanda Feudkiller judges Lorwyn's squabbles from a lofty perspective."
"280","Multani's mind grasped for consciousness as rage itself rebuilt his body."
"281","It is taller than all but the tallest trees, and older than all but the oldest."
"282","""Why eat now what could one day grow into a feast?"" —Ojutai, translated from Draconic"
"283","The banks of the Luxa River attract all manner of predator but only the most resilient of prey."
"284","Knowledge demands sacrifice."
"285","Taj-Nar, throne of Raksha Golden Cub, destined leader of the leonin prides."
"286","If there's anything a werewolf hates, it's a collar—especially Avacyn's Collar, the symbol of her church."
"287","When a dragon attacks, there are no bystanders."
"288","Those with the ability to change their nature survived Phyrexia's biological attacks. Everything else died."
"289","The ooze has always been. The ooze will always be."
"290","Ertai volunteered to open the portal. He figured he owed it one."
"291","The Phyrexian killing machines couldn't have known the seriousness of their mistake in wounding the ape—they'd never seen it angry."
"292","It outlived both king and castle."
"293","There is no glory to be gained in the kingdom of the dead. —Vec tomb inscription"
"294","Built in honor of Alara's creatures, the ziggurat vanished long ago. When Progenitus awakened, the temple emerged again."
"295","""Older specimens are completely encrusted with gems, which serve as both armor and weapons."" —Tolarian research notes"
"296","Nothing burns hotter than the fires of holy rage."
"297","It holds a whisper from Iona: ""Persevere."""
"298","As demons are drawn to suffering, angels are drawn to acts of benevolence."
"299","Forged in dark hours from the flame that would not die."
"300","""Even in single combat, I am never alone."" —Rafiq of the Many"
"301","Only the warrior who can admit mortal weakness will be bolstered by immortal strength."
"302","As the soldiers beneath her raised their voices, the angel spread her wings, their span seeming to cover the sky."
"303","The harmony of the glorious is a dirge to the wicked."
"304","""Do not treat your people as you treat your artifacts. Let them go, and they will live; seal them here, and they will die."" —Urza, to Radiant"
"305","The Boros built a prison in the sky where Azorius statutes couldn't restrict their sense of justice."
"306","Her presence on the battlefield can transform an unruly mob into a disciplined army."
"307","""Zendikar will triumph this day, and our armies will fly with angels."""
"308","From mortal hope immortal power springs."
"309","If only every message were as perfect as its bearer."
"310","""My family sheltered in her light, the dark was content to wait."" —Crovax"
"311","""We must save you from yourselves."""
"312","""If only an angel's wings could shelter us all."" —Barrin, master wizard"
"313","""A keen mind wields an army as a deft hand wields a sword."""
"314","""The air stirred as if fanned by angels' wings, and the enemy was turned aside."" —Tales of Ikarov the Voyager"
"315","""I feel in them a sense of duty and commitment, yet I can feel nothing else. It is as if their duty is to an empty void."" —Razia, Boros archangel"
"316","""Better the dead depart utterly than be enslaved."""
"317","She endures without Avacyn but secretly asks each soul she guides if it has seen her."
"318","""Justice isn't done until undeath is undone."""
"319","""Though Innistrad is not cleansed of evil, we finally have cause to rejoice."""
"320","Every tear shed is a drop of immortality."
"321","""No more fear. No more failure. No more death. No more!"""
"322","Bitter vengeance never glowed so bright nor sang so sweet."
"323","She arrived like a meteorite, and the enemy fell in a shock wave of holy vengeance."
"324","The angels did not deceive. From the start, they were clear their allegiance was to the God-Pharaoh and to him alone."
"325","If taken, it cuts the hand that clutches it. If given, it heals the hand that holds it."
"326","Rigorous faith and belief are rewarded on occasion, and richly so."
"327","""She rose above me, and in that moment Varrik the Bloody died and I was born."" —Varrik the Just"
"328","Clash of sword and cry of beast fall mute when angels sound the call to prayer."
"329","""Faith can quicken the stones themselves with life.""—Writings of Mikaeus"
"330","""For its time as a mortal, Anger chose a shell of boiling rock."" —Scroll of Beginnings"
"331","There was no reason to pray. This was already an act of the gods."
"332","From the time they are hatchlings, river drakes are taught to pull the largest prey from the Luxa."
"333","Orcs have been enemies of the Legion of Dusk since it was formed, and the entire race has been declared anathema."
"334","Captain Angrath cares less about treasure than mayhem. If he can't leave Ixalan, he'll burn the plane down."
"335","Sorin had created Avacyn, so it was a cruelty beyond imagining, a pain beyond description, that it fell upon him to end her forever."
"336","""Battles no longer served a purpose in Karakas."" —Angus Mackenzie, Diary"
"337","""Joskun and the other constables serve with passion, if not with grace."" —Devin, faerie noble"
"338","""The Inn was ever a steady source of good cheer and kindness. Greatly do I miss it, now that I am gone."" —Ihsan's Shade"
"339","Folk of good heart will always find a home."
"340","""The animal spirits are the Ancestor's grandchildren. Remember them."" —Mystic elder"
"341","Irony is getting walked on by the earth instead of the other way around."
"342","Sometimes the books hit back."
"343","""When you have been bitten with fangs of granite, you start to long for the ivory sabers of tigers."" —Norin the Wary"
"344","Design leads to progress."
"345","Tawnos finally cracked the puzzle: the strange structures did not house Mishra's malevolent creations but were themselves among his creations."
"346","The stature of the fighter matters less than the depth of the cut."
"347","You should see how small the map is."
"348","""Whatever Yawgmoth marks, dies. There is no escape."" —Tsabo Tavoc, Phyrexian general"
"349","""The most impressive performances can be done only once."" —Mote, Rakdos madcap"
"350","""Why pray to the gods, who feed on your worship? Dissolve your illusions and see the true nature of things."" —Xenagos, the Reveler"
"351","These machines build fearsome visages out of scrap metal to scare off predators who would otherwise be eager to consume them."
"352","Inspiration is red as rubies, flowing like honeyed wine."
"353","""The gods here may walk among the people, but they are not with them."" —Gideon Jura"
"354","""Arise. You have been anointed by the light. Go forth and fight without fear, for you shall be victorious."""
"355","""So many have died in search of that map. And now it appears in the hands of the arrogant child Chandra Nalaar."""
"356","The warriors she leads can rarely keep pace with her, and neither can the tales."
"357","I never metamorphosis I didn't like."
"358","Divining the future is easy when you hold the power to sway it."
"359","Every skull has a tale to tell, and a skulkin is many dire tales cobbled together."
"360","""Kill the queen first, or we'll be fighting her drones forever. It is not in a queen's nature to have enough servants."" —Borzard, exterminator captain"
"361","When it croaks, so do you."
"362","It's so tough it can frighten itself into hiding."
"363","Aphetto's swamps are alive with the dead."
"364","Krosa's topmost bottom feeder."
"365","Anurids have the problem of airborne invaders licked."
"366","""I know its lightness, for I have seen it fly. I know its weight, for I have seen it strike."" —Brigone, soldier of Meletis"
"367","""The An-Zerrins have served me well, ever since I first killed them."" —Baron Sengir"
"368","Monkeys three, monkeys through."
"369","He brews trouble."
"370","Phage became both executioner and savior, helping others to the same rebirth she had found."
"371","Aphetto con artists started working in pairs to make it less likely they'd be the victims of con artists."
"372","""The ignorant fear change; the wise use it as a weapon."""
"373","Merrows skulk the silty bogs around the Wanderbrine, their very thoughts stained with evil."
"374","""There is a future in which I can see only mist and a single shadow."" —Oracle en-Vec"
"375","""One day, or another, perhaps I shall ring my pretty chime . . . loudly, so that all may hear."" —Grandmother Sengir"
"376","For some customers, the old apothecary shop still opens its doors."
"377","Kithkin jealously hoard their knowledge of poultices and remedies so that no outside threat can benefit from their wisdom."
"378","Just as with a peach, the first bite is always the juiciest."
"379","""I'd just let the monkey have it if I were you. You can make another, but the same can't be said of your fingers."" —Turni, Greenwheel groundskeeper"
"380","A mage willing to dedicate his life to his craft."
"381","Some tides need no moon."
"382","""You may want to hold your breath."" —Kellyg, merrow aquitect"
"383","In water, it's as graceful as a dolphin. On land, it darts and jerks so unpredictably that few can ride it for long."
"384","""My finest creations are fashioned after the moths of Eiganjo. They fly higher, faster, and more gracefully than any of my own designs."" —Noboru, master kitemaker"
"385","Every movement is a summons—even your screams."
"386","It follows the green sun over Mirrodin's surface, spinning massive webs of whispersilk as it goes."
"387","It glides around the city, a sublime combination of elegance and utility."
"388","""We'll have time to put out the fires when those trapped within the ruins are safe."""
"389","""I would gladly give my life if it would inspire my clan to victory."""
"390","Dromoka dragons foster trust among their subjects, while the other clans must spend their time quelling rebellion."
"391","There are few things as satisfying as a good, healthy thunk."
"392","Though giants are mortal, they live so long and on such a grand scale that many small folk don't believe they ever truly die."
"393","""Llanowar's boughs are ever ready To unleash an autumn of steel leaves."" — ""Song of Freyalise"""
"394","The power of aether draws creatures to it like a magnetic force, and those that are touched by it are forever altered."
"395","""The forest will surround you with its life if you are still and calm."""
"396","The Tolarian Academies are known for their magical research, powerful sorcerers, and accidental destruction of ecosystems."
