"","Name","is_w","is_u","is_b","is_r","is_g","is_a","is_l"
"137","Agonizing Memories","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"138","Agony Warp","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"139","Agoraphobia","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"140","Agrus Kos, Wojek Veteran","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"141","Ahn-Crop Champion","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"142","Ahn-Crop Crasher","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"143","Aim High","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"144","Ainok Artillerist","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"145","Ainok Bond-Kin","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"146","Ainok Tracker","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"147","Air Bladder","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"148","Airborne Aid","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"149","Airdrop Aeronauts","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"150","Airdrop Condor","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"151","Air Elemental","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"152","Air Servant","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"153","Ajani's Chosen","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"154","Ajani's Comrade","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"155","Ajani's Mantra","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"156","Ajani's Pridemate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"157","Ajani's Sunstriker","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"158","Akiri, Line-Slinger","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"159","Akki Avalanchers","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"160","Akki Blizzard-Herder","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"161","Akki Coalflinger","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"162","Akki Drillmaster","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"163","Akki Raider","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"164","Akki Rockspeaker","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"165","Akki Underling","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"166","Akki Underminer","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"167","Akoum Boulderfoot","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"168","Akoum Flameseeker","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"169","Akrasan Squire","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"170","Akroan Conscriptor","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"171","Akroan Crusader","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"172","Akroan Hoplite","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"173","Akroan Jailer","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"174","Akroan Line Breaker","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"175","Akroan Mastiff","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"176","Akroan Phalanx","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"177","Akroan Skyguard","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"178","Akroma, Angel of Wrath","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"179","Akroma's Blessing","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"180","Akroma's Devoted","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"181","Akroma's Memorial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"182","Akroma's Vengeance","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"183","Aku Djinn","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"184","Al-abara's Carpet","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"185","Alabaster Kirin","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"186","Alabaster Leech","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"187","Alabaster Mage","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"188","Alabaster Potion","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"189","Alabaster Wall","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"190","Alaborn Cavalier","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"191","Alaborn Grenadier","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"192","Alaborn Musketeer","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"193","Alaborn Trooper","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"194","Aladdin's Ring","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"195","Alarum","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"196","Alchemist's Apprentice","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"197","Alchemist's Greeting","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"198","Alchemist's Refuge","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE"
"199","Alchemist's Vial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"200","Alert Shu Infantry","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"201","Alesha's Vanguard","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"202","Alesha, Who Smiles at Death","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"203","Alexi's Cloak","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"204","Alexi, Zephyr Mage","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"205","Algae Gharial","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"206","Alhammarret's Archive","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"207","Ali Baba","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"208","Aliban's Tower","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"209","Aligned Hedron Network","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"210","Alley Evasion","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"211","Alley Grifters","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"212","Alley Strangler","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"213","Allied Reinforcements","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"214","Allied Strategies","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"215","All Is Dust","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"216","Alloy Golem","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"217","Alloy Myr","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"218","All Suns' Dawn","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"219","Alluring Scent","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"220","Alluring Siren","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"221","Alms","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"222","Alms Beast","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"223","Alms Collector","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"224","Alpha Authority","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"225","Alpha Brawl","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"226","Alpha Kavu","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"227","Alpha Myr","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"228","Alpha Status","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"229","Alpha Tyrranax","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"230","Alpine Grizzly","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"231","Altar of Dementia","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"232","Altar of the Brood","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"233","Altar's Light","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"234","Altar's Reap","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"235","Aluren","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"236","Always Watching","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"237","Amaranthine Wall","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"238","Amass the Components","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"239","Amateur Auteur","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"240","Ambassador Laquatus","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"241","Ambassador Oak","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"242","Ambition's Cost","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"243","Ambitious Aetherborn","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"244","Ambuscade","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"245","Ambush","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"246","Ambush Krotiq","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"247","Ambush Party","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"248","Ambush Viper","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"249","Amnesia","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"250","Amok","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"251","Amphibious Kavu","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"252","Amphin Cutthroat","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"253","Amphin Pathmage","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"254","Ampryn Tactician","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"255","Amrou Kithkin","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"256","Amrou Scout","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"257","Amrou Seekers","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"258","Amugaba","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"259","Amulet of Kroog","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"260","Amulet of Unmaking","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"261","Amulet of Vigor","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"262","Anaba Ancestor","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"263","Anaba Bodyguard","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"264","Anaba Shaman","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"265","Anaba Spirit Crafter","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"266","Anaconda","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"267","Ana Disciple","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE"
"268","Anafenza, Kin-Tree Spirit","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"269","Anafenza, the Foremost","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"270","Anarchist","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"271","Anarchy","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"272","Anax and Cymede","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"273","Ancestor's Chosen","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"274","Ancestor's Prophet","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"275","Ancestral Mask","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"276","Ancestral Memories","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"277","Ancestral Statue","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"278","Ancestral Vengeance","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"279","Ancient Amphitheater","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"280","Ancient Animus","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"281","Ancient Brontodon","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"282","Ancient Carp","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"283","Ancient Crab","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"284","Ancient Craving","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"285","Ancient Den","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"286","Ancient Grudge","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"287","Ancient Hellkite","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"288","Ancient Kavu","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"289","Ancient Ooze","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
